trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-140.1718216714407,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-74.90942761467137,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-80.32524106547817,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-77.37986353089603,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,14,-94.61097289178096,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-59.57085889802937,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-154.62123763212978,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-175.2230107520975,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-121.01441896452761,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-232.32913910842026,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-102.52039540011333,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,9,14.400487557712818,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-77.7184770989987,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-82.40382153800583,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-32.96164143422035,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-79.13116533363971,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,15,32.88303770825444,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,7,-170.51856166451304,"{0: 7, 1: 0, 2: 0, 3: 3, 4: 3}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,1,-53.01026528406162,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-13.285879865859304,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,13,-75.611700513614,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,0,6.78372149965579,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,26.325296574868737,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-83.18887920613557,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-8.428618169098252,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,11,12.842046496498758,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,7.902435389956717,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,22.766703460845108,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,16.089229449619797,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-20.861192016346333,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
