trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.999}",25,0,-145.39369444642188,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.998001}",20,0,-124.81760683212624,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.997002999}",20,0,-153.24986293653816,"{0: 11, 1: 3, 2: 1, 3: 3, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.996005996001}",20,0,-109.96609187769029,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.995009990004999}",30,0,-206.97578822697287,"{0: 16, 1: 1, 2: 10, 3: 0, 4: 3}",0
6,False,"{'a': 0.4, 'e': 0.994014980014994}",20,0,-54.67938585690648,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.993020965034979}",30,0,-62.966986188052374,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.4, 'e': 0.992027944069944}",25,0,-158.01959541154798,"{0: 14, 1: 4, 2: 2, 3: 3, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.991035916125874}",20,13,3.945676526482112,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.4, 'e': 0.9900448802097482}",25,0,-128.81148306117186,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.9890548353295384}",20,0,-119.87232028755696,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.4, 'e': 0.9880657804942089}",35,0,-320.9011052275407,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 5}",0
13,False,"{'a': 0.4, 'e': 0.9870777147137147}",35,0,-161.3441115216038,"{0: 22, 1: 3, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.4, 'e': 0.986090636999001}",20,0,-90.50979416784934,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.985104546362002}",25,0,-131.13784214512333,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.4, 'e': 0.9841194418156399}",30,1,-104.72944348884116,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 1}",1
17,False,"{'a': 0.4, 'e': 0.9831353223738244}",25,12,-46.343347171315884,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
18,False,"{'a': 0.4, 'e': 0.9821521870514505}",25,0,-146.77195861426827,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.4, 'e': 0.981170034864399}",20,0,-64.9889935780727,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.9801888648295347}",30,0,-178.20776269779722,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
21,False,"{'a': 0.4, 'e': 0.9792086759647052}",35,0,-211.80245578375616,"{0: 19, 1: 4, 2: 7, 3: 3, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.9782294672887404}",25,0,-158.936853208973,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
23,False,"{'a': 0.4, 'e': 0.9772512378214517}",25,0,-120.69233326822584,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.4, 'e': 0.9762739865836302}",20,0,-155.33611697265567,"{0: 11, 1: 3, 2: 1, 3: 3, 4: 2}",0
25,False,"{'a': 0.4, 'e': 0.9752977125970466}",20,0,-137.5080718423247,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
26,False,"{'a': 0.4, 'e': 0.9743224148844496}",20,0,-166.57715142227332,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
27,False,"{'a': 0.4, 'e': 0.9733480924695651}",20,0,-95.43918122391581,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.4, 'e': 0.9723747443770956}",20,6,-75.64059502639505,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 1}",1
29,False,"{'a': 0.4, 'e': 0.9714023696327184}",20,0,-65.9136924075381,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.9704309672630858}",25,0,-112.9859994884611,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
31,False,"{'a': 0.4, 'e': 0.9694605362958226}",20,0,-129.76480079298756,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
32,False,"{'a': 0.4, 'e': 0.9684910757595269}",20,0,-83.82546992600666,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
33,False,"{'a': 0.4, 'e': 0.9675225846837673}",30,0,-199.77682651492742,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 4}",0
34,False,"{'a': 0.4, 'e': 0.9665550620990835}",20,0,-148.3983456217158,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
35,False,"{'a': 0.4, 'e': 0.9655885070369844}",20,0,-107.87938748262626,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
36,False,"{'a': 0.4, 'e': 0.9646229185299474}",20,0,-79.63711279419132,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.4, 'e': 0.9636582956114175}",20,0,-53.19264141506005,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.4, 'e': 0.9626946373158061}",20,0,-71.26780507171637,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.4, 'e': 0.9617319426784903}",25,0,-112.12602746088916,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
40,False,"{'a': 0.4, 'e': 0.9607702107358118}",25,0,-105.55628905857297,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
41,False,"{'a': 0.4, 'e': 0.959809440525076}",20,0,-66.98548302461266,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
42,False,"{'a': 0.4, 'e': 0.9588496310845509}",20,0,-78.61364283236252,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.4, 'e': 0.9578907814534663}",25,0,-195.64743891094994,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
44,False,"{'a': 0.4, 'e': 0.9569328906720128}",20,2,-94.55528301511478,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 1}",1
45,False,"{'a': 0.4, 'e': 0.9559759577813408}",25,0,-145.98817980316383,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0.4, 'e': 0.9550199818235595}",25,0,-67.1687036753075,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
