trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.999}",20,0,-74.53640634681673,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.998001}",35,0,-231.49813601751688,"{0: 17, 1: 5, 2: 9, 3: 1, 4: 3}",0
3,False,"{'a': 0.4, 'e': 0.997002999}",30,0,-130.16491085772475,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.996005996001}",20,0,-102.97611767126662,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.995009990004999}",20,0,-164.23692869452992,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.994014980014994}",25,0,-210.51652554455117,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
7,False,"{'a': 0.4, 'e': 0.993020965034979}",20,6,-59.25451361324709,"{0: 7, 1: 0, 2: 7, 3: 0, 4: 0}",1
8,False,"{'a': 0.4, 'e': 0.992027944069944}",30,16,-33.12220594947769,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.4, 'e': 0.991035916125874}",35,0,-264.0419293254777,"{0: 18, 1: 4, 2: 8, 3: 1, 4: 4}",0
10,False,"{'a': 0.4, 'e': 0.9900448802097482}",30,0,-168.04658790478783,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.9890548353295384}",20,0,-20.157817019769915,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.9880657804942089}",20,0,-120.56680642530239,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.4, 'e': 0.9870777147137147}",20,0,-120.1036331792268,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.4, 'e': 0.986090636999001}",20,0,-36.718371100706335,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.985104546362002}",30,0,-166.01964612760162,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
16,False,"{'a': 0.4, 'e': 0.9841194418156399}",25,0,-22.400672784233016,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.4, 'e': 0.9831353223738244}",30,0,-124.48700908691966,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.9821521870514505}",30,10,-97.84392341272665,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",1
19,False,"{'a': 0.4, 'e': 0.981170034864399}",20,0,-226.88274047427922,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 4}",0
20,False,"{'a': 0.4, 'e': 0.9801888648295347}",30,0,-119.48468230502766,"{0: 20, 1: 1, 2: 5, 3: 4, 4: 0}",0
21,False,"{'a': 0.4, 'e': 0.9792086759647052}",20,0,-196.94455185216626,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
22,False,"{'a': 0.4, 'e': 0.9782294672887404}",25,0,-159.0248451399612,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
23,False,"{'a': 0.4, 'e': 0.9772512378214517}",30,0,-245.15047543595367,"{0: 15, 1: 0, 2: 9, 3: 3, 4: 3}",0
24,False,"{'a': 0.4, 'e': 0.9762739865836302}",20,0,-138.1088222284017,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
25,False,"{'a': 0.4, 'e': 0.9752977125970466}",25,0,-128.94736756972455,"{0: 14, 1: 0, 2: 7, 3: 4, 4: 0}",0
26,False,"{'a': 0.4, 'e': 0.9743224148844496}",20,0,-167.45743287150322,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
27,False,"{'a': 0.4, 'e': 0.9733480924695651}",25,0,-147.85605379243148,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.4, 'e': 0.9723747443770956}",30,0,-190.92140870764862,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
29,False,"{'a': 0.4, 'e': 0.9714023696327184}",30,0,-205.09626515062854,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
30,False,"{'a': 0.4, 'e': 0.9704309672630858}",20,0,-99.66323060650022,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
31,False,"{'a': 0.4, 'e': 0.9694605362958226}",25,0,-84.79301559394005,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.4, 'e': 0.9684910757595269}",20,0,-86.28194881835033,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.4, 'e': 0.9675225846837673}",30,0,-167.50214549555426,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
34,False,"{'a': 0.4, 'e': 0.9665550620990835}",30,2,-188.03646651245307,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 4}",1
35,False,"{'a': 0.4, 'e': 0.9655885070369844}",30,24,11.271604146835223,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.4, 'e': 0.9646229185299474}",20,0,-160.5227015956876,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.4, 'e': 0.9636582956114175}",20,0,-109.50025999012954,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
38,False,"{'a': 0.4, 'e': 0.9626946373158061}",20,0,-44.99881003405873,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
