trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.99}",30,0,-215.895662663061,"{0: 17, 1: 0, 2: 9, 3: 1, 4: 3}",0
2,False,"{'a': 0.2, 'e': 0.9801}",25,0,-52.31992641650396,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.970299}",20,0,-102.4072719942995,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.96059601}",25,0,-187.46089803931844,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.2, 'e': 0.9509900498999999}",30,0,-116.62798350265531,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.941480149401}",25,0,-69.80738848151817,"{0: 12, 1: 9, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.9320653479069899}",20,0,-101.85502476350614,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.9227446944279201}",30,0,-99.66011632368637,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.9135172474836408}",20,0,-83.01046559955144,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.9043820750088044}",30,0,-162.8217616558869,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.8953382542587164}",25,0,-46.78633726539413,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.8863848717161292}",20,8,-34.48480325195827,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.8775210229989678}",20,0,-61.928285215647016,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.8687458127689782}",30,0,-126.04012131218546,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.2, 'e': 0.8600583546412884}",25,0,-177.79688894664142,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.8514577710948755}",20,0,-37.46435419964928,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.2, 'e': 0.8429431933839268}",25,0,-157.24833343354146,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.2, 'e': 0.8345137614500875}",20,0,-105.29534804266017,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.8261686238355866}",20,0,-1.362378697743916,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.8179069375972308}",25,0,-89.90938096562436,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.8097278682212584}",35,0,-68.85188512724703,"{0: 26, 1: 3, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.8016305895390459}",25,0,-154.2560091075527,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
23,False,"{'a': 0.2, 'e': 0.7936142836436554}",25,0,-143.26078786185693,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
24,False,"{'a': 0.2, 'e': 0.7856781408072188}",20,0,-46.56895079188162,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.7778213593991467}",35,0,-299.6049069525143,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 6}",0
26,False,"{'a': 0.2, 'e': 0.7700431458051551}",25,0,-177.3072344431244,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
27,False,"{'a': 0.2, 'e': 0.7623427143471035}",25,0,-116.83955739835437,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
28,False,"{'a': 0.2, 'e': 0.7547192872036325}",20,0,-63.89274434915836,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.7471720943315961}",20,0,-116.59691963221753,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.2, 'e': 0.7397003733882802}",20,13,13.331033184326442,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.7323033696543975}",20,7,-39.85509226545365,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.2, 'e': 0.7249803359578535}",35,24,-0.6152110447837291,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.2, 'e': 0.7177305325982749}",25,0,-31.964826808092937,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.2, 'e': 0.7105532272722921}",25,0,-47.76677211922624,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.2, 'e': 0.7034476949995692}",20,0,-29.672675578348418,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
36,False,"{'a': 0.2, 'e': 0.6964132180495735}",35,0,-207.9178996374061,"{0: 22, 1: 4, 2: 4, 3: 1, 4: 4}",0
37,False,"{'a': 0.2, 'e': 0.6894490858690778}",25,5,-138.0129659741682,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",1
