trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.99}",20,0,-40.17079552071462,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.9801}",30,0,-212.21107553499175,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.2, 'e': 0.970299}",35,0,-165.3689400495307,"{0: 21, 1: 2, 2: 8, 3: 3, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.96059601}",20,15,-2.5637195089908142,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.2, 'e': 0.9509900498999999}",25,0,-170.44944850581567,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.941480149401}",25,0,-136.8685775912419,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.2, 'e': 0.9320653479069899}",20,0,-155.35068238963618,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.2, 'e': 0.9227446944279201}",25,0,-117.37395716013165,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.9135172474836408}",30,12,-82.81948562479032,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 1}",1
10,False,"{'a': 0.2, 'e': 0.9043820750088044}",25,0,-196.46522987126914,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.2, 'e': 0.8953382542587164}",30,0,-197.05120682889213,"{0: 18, 1: 5, 2: 3, 3: 0, 4: 4}",0
12,False,"{'a': 0.2, 'e': 0.8863848717161292}",20,0,-129.23901012092514,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.8775210229989678}",30,0,-225.52822487980683,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
14,False,"{'a': 0.2, 'e': 0.8687458127689782}",20,0,-166.96593446417862,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.2, 'e': 0.8600583546412884}",30,0,-139.27401800298557,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.8514577710948755}",25,0,-189.4768283972194,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
17,False,"{'a': 0.2, 'e': 0.8429431933839268}",20,7,-86.39746204353966,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 1}",1
18,False,"{'a': 0.2, 'e': 0.8345137614500875}",30,0,-213.10861536309264,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
19,False,"{'a': 0.2, 'e': 0.8261686238355866}",20,0,-86.6098973814079,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.8179069375972308}",30,0,-122.6945582938485,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
21,False,"{'a': 0.2, 'e': 0.8097278682212584}",30,0,-131.91650042998637,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 0.2, 'e': 0.8016305895390459}",20,0,-151.21077632017716,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
23,False,"{'a': 0.2, 'e': 0.7936142836436554}",35,0,-106.69302117556765,"{0: 26, 1: 3, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.2, 'e': 0.7856781408072188}",30,0,-94.72301095520926,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.2, 'e': 0.7778213593991467}",25,3,-122.7014791171781,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 2}",1
26,False,"{'a': 0.2, 'e': 0.7700431458051551}",35,0,-82.47351220497538,"{0: 26, 1: 3, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.2, 'e': 0.7623427143471035}",30,0,-203.64866355038558,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
28,False,"{'a': 0.2, 'e': 0.7547192872036325}",25,1,-118.49667667290085,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 2}",1
29,False,"{'a': 0.2, 'e': 0.7471720943315961}",30,0,-158.98489983409505,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
30,False,"{'a': 0.2, 'e': 0.7397003733882802}",20,0,-121.24501140932549,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.2, 'e': 0.7323033696543975}",25,0,-69.4276477026352,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
32,False,"{'a': 0.2, 'e': 0.7249803359578535}",20,0,-102.64236818119217,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.2, 'e': 0.7177305325982749}",25,0,-97.1086343081118,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.2, 'e': 0.7105532272722921}",20,0,-118.55897520419686,"{0: 7, 1: 6, 2: 5, 3: 2, 4: 0}",0
35,False,"{'a': 0.2, 'e': 0.7034476949995692}",20,9,-33.650366754792856,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
