trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.99}",25,0,-93.1223820015294,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.05, 'e': 0.9801}",20,0,-93.98822877424301,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.970299}",25,0,-58.9678581485121,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.96059601}",25,0,-56.98918961816701,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.05, 'e': 0.9509900498999999}",25,0,-151.36936525627476,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.941480149401}",20,0,-62.65494844745454,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.9320653479069899}",30,0,-170.92245401517215,"{0: 16, 1: 3, 2: 7, 3: 3, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.9227446944279201}",30,0,-105.89434071993516,"{0: 21, 1: 4, 2: 1, 3: 3, 4: 1}",0
9,False,"{'a': 0.05, 'e': 0.9135172474836408}",20,8,-72.8628574698496,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.05, 'e': 0.9043820750088044}",20,0,-38.11078252106197,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.05, 'e': 0.8953382542587164}",20,0,-56.42711008546377,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.8863848717161292}",25,0,-198.42595989580573,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
13,False,"{'a': 0.05, 'e': 0.8775210229989678}",20,0,-112.94481888195617,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.05, 'e': 0.8687458127689782}",20,0,-2.858666894527159,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.05, 'e': 0.8600583546412884}",30,0,-289.7449057289789,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 5}",0
16,False,"{'a': 0.05, 'e': 0.8514577710948755}",25,0,-102.55264763852867,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.05, 'e': 0.8429431933839268}",20,0,-32.903484383201295,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.8345137614500875}",20,7,-91.19380411804013,"{0: 7, 1: 1, 2: 2, 3: 2, 4: 1}",1
19,False,"{'a': 0.05, 'e': 0.8261686238355866}",25,0,-56.1830365862381,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.05, 'e': 0.8179069375972308}",30,0,-136.51111260868115,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.05, 'e': 0.8097278682212584}",20,0,-96.1620625951238,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.05, 'e': 0.8016305895390459}",20,0,-27.71407810472265,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
