trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9999500004166653}",25,0,-19.473426887908317,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.9998000066665778}",20,11,-52.56903508838053,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
3,False,"{'a': 0.05, 'e': 0.9995500337489875}",20,0,-28.343371176803277,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.9992001066609779}",20,0,-215.3425163191599,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
5,False,"{'a': 0.05, 'e': 0.9987502603949663}",20,0,-103.17741429651956,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.05, 'e': 0.9982005399352042}",20,0,-72.20655992706426,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.05, 'e': 0.9975510002532796}",25,0,-123.34794352695866,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.9968017063026194}",30,0,-256.12158502227436,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 5}",0
9,False,"{'a': 0.05, 'e': 0.9959527330119943}",20,0,-69.42257118716336,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.9950041652780258}",20,0,-215.05810265911052,"{0: 7, 1: 2, 2: 7, 3: 1, 4: 3}",0
11,False,"{'a': 0.05, 'e': 0.9939560979566968}",30,10,-68.98542671859951,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.05, 'e': 0.9928086358538663}",25,0,-86.85922415685046,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.05, 'e': 0.9915618937147881}",30,0,-138.35148564225292,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.05, 'e': 0.9902159962126371}",30,0,-176.47748507875724,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
15,False,"{'a': 0.05, 'e': 0.9887710779360422}",25,0,-69.32540335372279,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.05, 'e': 0.9872272833756269}",20,14,-19.27977111405885,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.9855847669095608}",35,0,-66.86779308472299,"{0: 24, 1: 3, 2: 8, 3: 0, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.9838436927881214}",30,0,-170.26824606380822,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.05, 'e': 0.9820042351172703}",20,0,-66.43529077175386,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.05, 'e': 0.9800665778412416}",30,0,-161.16308498827001,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
21,False,"{'a': 0.05, 'e': 0.9780309147241483}",25,0,-126.16803045373112,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.05, 'e': 0.9758974493306055}",25,0,-22.864557769341467,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.05, 'e': 0.9736663950053749}",30,0,-120.11729017332479,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
24,False,"{'a': 0.05, 'e': 0.9713379748520296}",25,0,-156.92120719927536,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
25,False,"{'a': 0.05, 'e': 0.9689124217106447}",30,2,-151.1906157643142,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 2}",1
