trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.03, 'e': 0.9995500337489875}",30,0,-163.41281127509936,"{0: 20, 1: 4, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.03, 'e': 0.9982005399352042}",20,7,-72.46123916734376,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
3,False,"{'a': 0.03, 'e': 0.9959527330119943}",20,0,-114.6598516223686,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.03, 'e': 0.9928086358538663}",20,0,-61.811099582812254,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.03, 'e': 0.9887710779360422}",25,0,-218.6041129913094,"{0: 9, 1: 4, 2: 9, 3: 0, 4: 3}",0
6,False,"{'a': 0.03, 'e': 0.9838436927881214}",35,0,-222.3100381245259,"{0: 21, 1: 0, 2: 9, 3: 2, 4: 3}",0
7,False,"{'a': 0.03, 'e': 0.9780309147241483}",25,0,-114.78285227508576,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.03, 'e': 0.9713379748520296}",25,0,-127.62568134054509,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.03, 'e': 0.9637708963658905}",20,0,-58.6527322081504,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.03, 'e': 0.955336489125606}",20,0,-112.52226732152036,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.03, 'e': 0.946042343528387}",25,0,-124.62615846511237,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.03, 'e': 0.9358968236779348}",20,0,-107.94717903865995,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.03, 'e': 0.9249090598573131}",20,0,-68.38271848561315,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.03, 'e': 0.9130889403123083}",25,0,-144.31043016344128,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.03, 'e': 0.9004471023526769}",20,0,-62.118574676016266,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
