trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9900498337491681}",25,0,-44.10534541570277,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.9801986733067553}",20,0,-29.0361586346879,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.05, 'e': 0.9704455335485082}",20,0,-42.07534498684413,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.9607894391523232}",20,0,-143.2187137648363,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.951229424500714}",30,0,-170.60587250271968,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.9417645335842487}",25,0,-53.608055974295695,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.05, 'e': 0.9323938199059483}",20,0,-89.69592343380492,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.9231163463866358}",20,0,-72.98100872796728,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.05, 'e': 0.9139311852712282}",25,0,-19.787028625827386,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.9048374180359596}",20,0,-143.98558922198922,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.05, 'e': 0.8958341352965282}",20,0,-155.7412267002303,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.05, 'e': 0.8869204367171575}",20,0,-81.43828410079216,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.8780954309205613}",30,0,-143.15223406534022,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.05, 'e': 0.8693582353988059}",20,0,-44.62895535562161,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.05, 'e': 0.8607079764250578}",35,0,-230.07985215923244,"{0: 21, 1: 3, 2: 6, 3: 1, 4: 4}",0
16,False,"{'a': 0.05, 'e': 0.8521437889662113}",20,0,-81.66346066919085,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.05, 'e': 0.8436648165963837}",20,0,-100.09150310684586,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.05, 'e': 0.835270211411272}",20,14,9.566875784116242,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.05, 'e': 0.8269591339433623}",25,2,-1.237861182036806,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.05, 'e': 0.8187307530779818}",20,0,-203.61642422972687,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
21,False,"{'a': 0.05, 'e': 0.8105842459701871}",25,0,-142.36255826858766,"{0: 17, 1: 2, 2: 1, 3: 3, 4: 2}",0
22,False,"{'a': 0.05, 'e': 0.8025187979624785}",30,0,-173.24739996210764,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
23,False,"{'a': 0.05, 'e': 0.794533602503334}",20,0,-96.93958565847225,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.05, 'e': 0.7866278610665535}",25,0,-72.61253546204416,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.05, 'e': 0.7788007830714049}",20,13,5.739230453050841,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.05, 'e': 0.7710515858035663}",25,0,-45.559265077185984,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.05, 'e': 0.7633794943368531}",30,8,-101.81884720840331,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 2}",1
28,False,"{'a': 0.05, 'e': 0.7557837414557255}",20,0,-120.03649733569402,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
29,False,"{'a': 0.05, 'e': 0.7482635675785653}",30,0,-109.63323608428772,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 1}",0
30,False,"{'a': 0.05, 'e': 0.7408182206817179}",25,0,-113.58081071609082,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.05, 'e': 0.7334469562242892}",25,0,-156.7111797357409,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
32,False,"{'a': 0.05, 'e': 0.7261490370736909}",25,0,-170.9807316868205,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
33,False,"{'a': 0.05, 'e': 0.7189237334319262}",25,0,-48.41878826721509,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.05, 'e': 0.7117703227626097}",25,0,-84.46759837169094,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
35,False,"{'a': 0.05, 'e': 0.7046880897187134}",30,0,-119.40457044118747,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
36,False,"{'a': 0.05, 'e': 0.6976763260710311}",20,0,-88.33169218608427,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
37,False,"{'a': 0.05, 'e': 0.6907343306373547}",20,0,-133.16044221464293,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
38,False,"{'a': 0.05, 'e': 0.6838614092123558}",25,0,-75.69142840395786,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.05, 'e': 0.6770568744981647}",20,0,-113.3985037250816,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
40,False,"{'a': 0.05, 'e': 0.6703200460356393}",20,0,-106.20849115799557,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
41,False,"{'a': 0.05, 'e': 0.6636502501363194}",25,8,-42.1719691908146,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 0}",1
42,False,"{'a': 0.05, 'e': 0.6570468198150567}",25,0,-102.18027518532406,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
43,False,"{'a': 0.05, 'e': 0.6505090947233165}",20,0,-97.1830229055925,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
44,False,"{'a': 0.05, 'e': 0.6440364210831414}",20,0,-59.40451492096233,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.05, 'e': 0.6376281516217733}",20,0,-43.40824014856654,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.05, 'e': 0.631283645506926}",25,0,-63.59462829710227,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
