trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9900498337491681}",35,0,-165.1994314636794,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.9801986733067553}",25,0,-70.35219885005027,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.05, 'e': 0.9704455335485082}",20,0,-162.3209565259264,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
4,False,"{'a': 0.05, 'e': 0.9607894391523232}",20,0,-130.2413528821111,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.05, 'e': 0.951229424500714}",20,0,-191.54542438606504,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
6,False,"{'a': 0.05, 'e': 0.9417645335842487}",25,2,-160.5044494721993,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 3}",1
7,False,"{'a': 0.05, 'e': 0.9323938199059483}",25,0,-114.45774225775506,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.9231163463866358}",25,0,-94.18336429547392,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.05, 'e': 0.9139311852712282}",25,0,-217.9632363066519,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
10,False,"{'a': 0.05, 'e': 0.9048374180359596}",30,0,-99.09118028911112,"{0: 20, 1: 7, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.05, 'e': 0.8958341352965282}",25,0,-116.44769121244622,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
12,False,"{'a': 0.05, 'e': 0.8869204367171575}",30,4,-117.897493858502,"{0: 15, 1: 2, 2: 5, 3: 4, 4: 0}",1
13,False,"{'a': 0.05, 'e': 0.8780954309205613}",20,0,-29.129005981775226,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.8693582353988059}",25,0,-177.55702669398949,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
15,False,"{'a': 0.05, 'e': 0.8607079764250578}",20,0,-52.343379280332144,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.05, 'e': 0.8521437889662113}",25,0,-89.9232792895408,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.05, 'e': 0.8436648165963837}",25,14,-69.69819471800562,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.05, 'e': 0.835270211411272}",20,0,-58.45700860140104,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.8269591339433623}",25,0,-165.62507977807132,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.05, 'e': 0.8187307530779818}",30,0,-125.44048719317031,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.05, 'e': 0.8105842459701871}",20,0,-118.92260467259436,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
22,False,"{'a': 0.05, 'e': 0.8025187979624785}",20,0,-40.37475634001939,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
23,False,"{'a': 0.05, 'e': 0.794533602503334}",20,12,-15.862203107022609,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.05, 'e': 0.7866278610665535}",25,0,-96.45365878853436,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.05, 'e': 0.7788007830714049}",20,0,-75.55688260139867,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
26,False,"{'a': 0.05, 'e': 0.7710515858035663}",20,0,-93.37699813380681,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.05, 'e': 0.7633794943368531}",20,0,-28.686084480260313,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
28,False,"{'a': 0.05, 'e': 0.7557837414557255}",25,5,-75.08031300044574,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
29,False,"{'a': 0.05, 'e': 0.7482635675785653}",25,9,-58.7266274290893,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
30,False,"{'a': 0.05, 'e': 0.7408182206817179}",20,0,-100.973503943646,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.05, 'e': 0.7334469562242892}",20,12,-16.677336116729222,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.05, 'e': 0.7261490370736909}",20,0,-105.80615047563509,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
33,False,"{'a': 0.05, 'e': 0.7189237334319262}",30,10,-57.15265896664221,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
34,False,"{'a': 0.05, 'e': 0.7117703227626097}",20,0,-31.345850742357324,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
35,False,"{'a': 0.05, 'e': 0.7046880897187134}",30,0,-164.38317319340982,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
36,False,"{'a': 0.05, 'e': 0.6976763260710311}",25,0,-101.06217362676296,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.05, 'e': 0.6907343306373547}",20,0,-26.577151674775443,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
38,False,"{'a': 0.05, 'e': 0.6838614092123558}",30,0,-103.3524876680387,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.05, 'e': 0.6770568744981647}",25,0,-153.7496286257007,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
40,False,"{'a': 0.05, 'e': 0.6703200460356393}",30,0,-155.5811042219939,"{0: 22, 1: 1, 2: 2, 3: 2, 4: 3}",0
41,False,"{'a': 0.05, 'e': 0.6636502501363194}",20,0,-62.391185311718175,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.05, 'e': 0.6570468198150567}",20,0,-83.28542146966775,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.05, 'e': 0.6505090947233165}",25,0,-81.80040444833996,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
44,False,"{'a': 0.05, 'e': 0.6440364210831414}",30,0,-81.43672568338545,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.05, 'e': 0.6376281516217733}",20,0,-52.060967620977486,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.05, 'e': 0.631283645506926}",25,0,-6.979919250011214,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.05, 'e': 0.6250022682827008}",20,9,10.42660913357987,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.05, 'e': 0.6187833918061408}",20,0,-69.39478965493569,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
49,False,"{'a': 0.05, 'e': 0.6126263941844161}",25,0,-110.94774807865305,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
50,False,"{'a': 0.05, 'e': 0.6065306597126334}",25,0,-56.668482638710636,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.05, 'e': 0.6004955788122659}",25,11,-57.98552907827876,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
52,False,"{'a': 0.05, 'e': 0.5945205479701944}",35,0,-10.622623872058782,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",0
53,False,"{'a': 0.05, 'e': 0.5886049696783552}",25,0,-133.4012131052837,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
54,False,"{'a': 0.05, 'e': 0.5827482523739896}",25,0,11.579761282018751,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.05, 'e': 0.5769498103804866}",25,0,-93.47228131425284,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
56,False,"{'a': 0.05, 'e': 0.5712090638488149}",20,0,-74.54994628260691,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.05, 'e': 0.5655254386995371}",20,0,-37.49310719323354,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
58,False,"{'a': 0.05, 'e': 0.559898366565402}",25,0,-40.3707715898117,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.05, 'e': 0.5543272847345071}",25,0,-144.54511457924667,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
60,False,"{'a': 0.05, 'e': 0.5488116360940265}",25,0,-193.53731860069797,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
61,False,"{'a': 0.05, 'e': 0.5433508690744998}",20,0,-41.84022654358501,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.05, 'e': 0.5379444375946745}",25,8,-97.72349194761284,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 2}",1
63,False,"{'a': 0.05, 'e': 0.5325918010068972}",20,6,12.814417396473797,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.05, 'e': 0.5272924240430485}",20,0,17.098226270319895,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.05, 'e': 0.522045776761016}",20,7,-32.1478476447479,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
66,False,"{'a': 0.05, 'e': 0.5168513344916993}",25,9,-53.581984727078265,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
