trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.999}",25,0,-210.0016545975589,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.2, 'e': 0.998001}",30,0,-132.64225184014364,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.997002999}",30,0,-206.12863615225598,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.2, 'e': 0.996005996001}",20,0,-102.65891833930915,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.995009990004999}",35,0,-199.5765107332913,"{0: 20, 1: 1, 2: 11, 3: 1, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.994014980014994}",20,0,-112.0283392566272,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.993020965034979}",20,4,-20.222341739707197,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.2, 'e': 0.992027944069944}",35,0,-232.04111376046092,"{0: 19, 1: 4, 2: 6, 3: 3, 4: 3}",0
9,False,"{'a': 0.2, 'e': 0.991035916125874}",20,0,-79.25488572868102,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.9900448802097482}",25,0,-182.03491993541232,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.2, 'e': 0.9890548353295384}",20,0,-85.08294495158248,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.9880657804942089}",25,0,-120.75099914215365,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.9870777147137147}",20,0,-100.27700587959092,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.986090636999001}",20,0,-121.88442483972821,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.985104546362002}",25,0,-139.06432399566376,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.9841194418156399}",20,0,-67.79906576603214,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.9831353223738244}",20,0,-116.49897989436795,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.9821521870514505}",25,0,-209.51942480781008,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
19,False,"{'a': 0.2, 'e': 0.981170034864399}",20,4,-71.03238571386747,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.2, 'e': 0.9801888648295347}",20,0,-131.15219666853557,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.2, 'e': 0.9792086759647052}",20,0,-99.25216988677442,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
22,False,"{'a': 0.2, 'e': 0.9782294672887404}",30,0,-140.14139724335317,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
23,False,"{'a': 0.2, 'e': 0.9772512378214517}",25,0,-99.43377474848826,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.2, 'e': 0.9762739865836302}",25,0,-115.20999318523411,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.2, 'e': 0.9752977125970466}",25,0,-103.66015133810062,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
26,False,"{'a': 0.2, 'e': 0.9743224148844496}",20,0,-99.58408992841431,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.2, 'e': 0.9733480924695651}",25,0,-50.37931646435256,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.9723747443770956}",20,0,-179.21308821803754,"{0: 9, 1: 3, 2: 2, 3: 4, 4: 2}",0
29,False,"{'a': 0.2, 'e': 0.9714023696327184}",20,0,-32.36804281284159,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.9704309672630858}",20,0,-196.18362607065214,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
31,False,"{'a': 0.2, 'e': 0.9694605362958226}",20,0,-63.71656930485104,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.2, 'e': 0.9684910757595269}",25,0,-215.1511590646052,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 3}",0
33,False,"{'a': 0.2, 'e': 0.9675225846837673}",20,0,-44.58491361001927,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.2, 'e': 0.9665550620990835}",30,0,-97.15577401730914,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
35,False,"{'a': 0.2, 'e': 0.9655885070369844}",25,0,-99.30267355489677,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
36,False,"{'a': 0.2, 'e': 0.9646229185299474}",25,0,-48.54747229986085,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",1
37,False,"{'a': 0.2, 'e': 0.9636582956114175}",20,0,-111.75102964585187,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
38,False,"{'a': 0.2, 'e': 0.9626946373158061}",20,0,-72.23964788289146,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.2, 'e': 0.9617319426784903}",20,0,-70.29153777151546,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.2, 'e': 0.9607702107358118}",20,0,-111.64280647617203,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
41,False,"{'a': 0.2, 'e': 0.959809440525076}",25,0,-242.38139914963267,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
42,False,"{'a': 0.2, 'e': 0.9588496310845509}",20,0,-191.58726873699018,"{0: 9, 1: 0, 2: 6, 3: 3, 4: 2}",0
43,False,"{'a': 0.2, 'e': 0.9578907814534663}",20,0,-165.76861734777094,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
44,False,"{'a': 0.2, 'e': 0.9569328906720128}",20,0,-73.93013922532859,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.2, 'e': 0.9559759577813408}",25,0,-155.76085453778103,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
46,False,"{'a': 0.2, 'e': 0.9550199818235595}",30,0,-58.408636565534415,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
47,False,"{'a': 0.2, 'e': 0.954064961841736}",20,0,-116.66928032375442,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
48,False,"{'a': 0.2, 'e': 0.9531108968798943}",20,0,-112.78689615352685,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.9521577859830144}",25,0,-161.5653478726982,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
50,False,"{'a': 0.2, 'e': 0.9512056281970314}",35,0,-189.78115174416686,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",0
51,False,"{'a': 0.2, 'e': 0.9502544225688343}",20,0,-97.9339436228306,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.9493041681462654}",25,0,-96.51877476323278,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
53,False,"{'a': 0.2, 'e': 0.9483548639781192}",35,0,-122.92293250004309,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
