trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1.0}",20,0,-210.9961869295879,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 5}",0
2,False,"{'a': 0.05, 'e': 0.25}",20,0,-78.16568662897319,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.05, 'e': 0.1111111111111111}",20,0,-36.85075334838736,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.0625}",20,0,-130.7526162183013,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.05, 'e': 0.04}",20,0,-80.09775902250604,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.027777777777777776}",20,7,-74.16492161595832,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.05, 'e': 0.02040816326530612}",20,0,-43.22321847350522,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.015625}",25,0,-85.84524724118687,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
9,False,"{'a': 0.05, 'e': 0.012345679012345678}",25,0,-9.120863409457277,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.01}",30,0,-37.9042094391534,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.008264462809917356}",20,0,-10.233668376983811,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.05, 'e': 0.006944444444444444}",25,9,5.093402483419968,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.05, 'e': 0.005917159763313609}",20,0,-40.51662909996023,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.00510204081632653}",25,0,-34.54043207689182,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.05, 'e': 0.0044444444444444444}",20,15,-11.548936685970318,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.05, 'e': 0.00390625}",25,0,-34.37257223707284,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.05, 'e': 0.0034602076124567475}",30,0,11.049681292009113,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.0030864197530864196}",25,7,-40.239109041276556,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
19,False,"{'a': 0.05, 'e': 0.002770083102493075}",20,0,-100.8066191482505,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.05, 'e': 0.0025}",20,0,-15.849010089883171,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.05, 'e': 0.0022675736961451248}",30,0,9.204938099888816,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
22,False,"{'a': 0.05, 'e': 0.002066115702479339}",20,10,2.665367000093261,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.05, 'e': 0.001890359168241966}",30,0,-36.769856124181175,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
24,False,"{'a': 0.05, 'e': 0.001736111111111111}",20,0,-34.033482330791,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
25,False,"{'a': 0.05, 'e': 0.0016}",25,0,-23.692893967514078,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
26,False,"{'a': 0.05, 'e': 0.0014792899408284023}",20,8,11.044755354941453,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.05, 'e': 0.0013717421124828533}",25,0,-82.70883722233907,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
28,False,"{'a': 0.05, 'e': 0.0012755102040816326}",25,11,-22.683517865635228,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.05, 'e': 0.0011890606420927468}",20,0,-18.406474330284205,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
30,False,"{'a': 0.05, 'e': 0.0011111111111111111}",25,0,-5.049881905045305,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.05, 'e': 0.001040582726326743}",30,8,36.53291516910724,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.05, 'e': 0.0009765625}",20,7,22.753313734104253,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,15.24114380249172,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",35,20,-13.274576134833246,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
