trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.1034188230652,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.42958413537286,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.8257889474484,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-186.16429283986014,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-37.30662809547384,"{0: 18, 1: 5, 2: 0, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.51332126091376,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-209.62468803767797,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-232.67865769866074,"{0: 18, 1: 0, 2: 7, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.35377435849118,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.20850161637426,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.461482897417,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-217.01184444113534,"{0: 9, 1: 1, 2: 4, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-237.2463506655046,"{0: 22, 1: 1, 2: 7, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.03658094168136,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.87557297281568,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.94422410548724,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.68095341735292,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.242878843184904,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-211.7912919428214,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.89262699599877,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.84426173094012,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-171.80522334818417,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-175.16041858772732,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.67980527402395,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-14.589875689278962,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.5860017528491,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.65814010368081,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-238.7871779593826,"{0: 8, 1: 4, 2: 9, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-159.01408244352078,"{0: 24, 1: 4, 2: 3, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-32.9021759969901,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
